实验序号,亲本甲配子,亲本乙配子,后代基因型,胚乳性状,粒形,性状组合
3092,wy,wy,wwyy,糯性,短粒,糯性短粒
3093,wY,wy,wwYy,糯性,长粒,糯性长粒
3094,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
3095,wy,wY,wwYy,糯性,长粒,糯性长粒
3096,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
3097,wY,wy,wwYy,糯性,长粒,糯性长粒
3098,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3099,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3100,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3101,wY,wY,wwYY,糯性,长粒,糯性长粒
3102,wY,wY,wwYY,糯性,长粒,糯性长粒
3103,wy,WY,WwYy,非糯性,长粒,非糯性长粒
3104,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3105,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3106,wy,wy,wwyy,糯性,短粒,糯性短粒
3107,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3108,wY,wY,wwYY,糯性,长粒,糯性长粒
3109,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3110,wy,wy,wwyy,糯性,短粒,糯性短粒
3111,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3112,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3113,wy,wY,wwYy,糯性,长粒,糯性长粒
3114,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3115,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3116,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3117,wY,wY,wwYY,糯性,长粒,糯性长粒
3118,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3119,wy,WY,WwYy,非糯性,长粒,非糯性长粒
3120,wy,wy,wwyy,糯性,短粒,糯性短粒
3121,wy,WY,WwYy,非糯性,长粒,非糯性长粒
3122,wY,wy,wwYy,糯性,长粒,糯性长粒
3123,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3124,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3125,wy,WY,WwYy,非糯性,长粒,非糯性长粒
3126,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3127,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3128,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
3129,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3130,wy,wy,wwyy,糯性,短粒,糯性短粒
3131,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3132,wy,wY,wwYy,糯性,长粒,糯性长粒
3133,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3134,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3135,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3136,wy,wY,wwYy,糯性,长粒,糯性长粒
3137,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3138,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3139,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3140,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3141,wy,wY,wwYy,糯性,长粒,糯性长粒
3142,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3143,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
3144,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3145,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3146,wy,WY,WwYy,非糯性,长粒,非糯性长粒
3147,WY,WY,WWYY,非糯性,长粒,非糯性长粒
3148,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3149,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3150,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
3151,WY,WY,WWYY,非糯性,长粒,非糯性长粒
3152,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3153,WY,WY,WWYY,非糯性,长粒,非糯性长粒
3154,WY,wy,WwYy,非糯性,长粒,非糯性长粒
3155,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3156,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3157,wy,wy,wwyy,糯性,短粒,糯性短粒
3158,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3159,wY,wy,wwYy,糯性,长粒,糯性长粒
3160,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3161,wY,wy,wwYy,糯性,长粒,糯性长粒
3162,wy,WY,WwYy,非糯性,长粒,非糯性长粒
3163,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3164,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
3165,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3166,WY,wy,WwYy,非糯性,长粒,非糯性长粒
3167,wy,wY,wwYy,糯性,长粒,糯性长粒
3168,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3169,wy,wY,wwYy,糯性,长粒,糯性长粒
3170,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3171,wY,wY,wwYY,糯性,长粒,糯性长粒
3172,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3173,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
3174,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3175,WY,WY,WWYY,非糯性,长粒,非糯性长粒
3176,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3177,wY,wY,wwYY,糯性,长粒,糯性长粒
3178,wy,WY,WwYy,非糯性,长粒,非糯性长粒
3179,WY,WY,WWYY,非糯性,长粒,非糯性长粒
3180,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3181,wY,wY,wwYY,糯性,长粒,糯性长粒
3182,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
3183,wy,wY,wwYy,糯性,长粒,糯性长粒
3184,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3185,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3186,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3187,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3188,wy,wY,wwYy,糯性,长粒,糯性长粒
3189,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3190,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3191,wy,wy,wwyy,糯性,短粒,糯性短粒
3192,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3193,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3194,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3195,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
3196,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3197,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3198,wy,WY,WwYy,非糯性,长粒,非糯性长粒
3199,wY,wy,wwYy,糯性,长粒,糯性长粒
3200,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3201,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3202,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3203,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3204,wY,wY,wwYY,糯性,长粒,糯性长粒
3205,wy,wy,wwyy,糯性,短粒,糯性短粒
3206,WY,wy,WwYy,非糯性,长粒,非糯性长粒
3207,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3208,WY,WY,WWYY,非糯性,长粒,非糯性长粒
3209,wy,wY,wwYy,糯性,长粒,糯性长粒
